,associated_work,MCorMD,engine,molecule,replicate,temperature,density,density-std,forcefield
638,MoSDeF,MC,gomc,methaneUA,3,140.0,0.37580982074175,0.003804269986895914,trappe-ua
639,MoSDeF,MD,hoomd,ethanolAA,11,300.0,0.7937866331132427,0.007232241951932954,oplsaa
640,MoSDeF,MC,cassandra,waterSPCE,8,300.0,0.9978957926466666,0.007246307426147069,spce
641,MoSDeF,MC,gomc,ethanolAA,4,320.0,0.7680317650779167,0.007711332433525779,oplsaa
642,MoSDeF,MD,lammps-VU,ethanolAA,8,280.0,0.8160081666184462,0.006656026968059791,oplsaa
643,MoSDeF,MD,hoomd,pentaneUA-constrain_bonds,1,372.0,0.5416041449189878,0.012041752797959103,trappe-ua
644,MoSDeF,MC,mcccs,waterSPCE,12,280.0,1.0074477867005829,0.007468702307399514,spce
645,MoSDeF,MC,mcccs,methaneUA,8,140.0,0.37581671594706884,0.004563600525526552,trappe-ua
646,MoSDeF,MD,hoomd,ethanolAA,10,280.0,0.8143837186087235,0.006675772728597302,oplsaa
647,MoSDeF,MC,mcccs,pentaneUA-constrain_bonds,10,372.0,0.5413554436067952,0.01223178337821508,trappe-ua
648,MoSDeF,MD,lammps-VU,methaneUA,4,140.0,0.37598679663963597,0.004447984837075612,trappe-ua
649,MoSDeF,MC,mcccs,ethanolAA,1,300.0,0.7906687852908886,0.007718160869565024,oplsaa
650,MoSDeF,MC,gomc,ethanolAA,2,280.0,0.8113634787835833,0.006457977435084869,oplsaa
651,MoSDeF,MC,gomc,waterSPCE,3,300.0,0.9962973543078333,0.0074118286649472445,spce
652,MoSDeF,MD,lammps-VU,methaneUA,2,140.0,0.37598668330110036,0.004340360895676662,trappe-ua
653,MoSDeF,MD,lammps-VU,ethanolAA,13,300.0,0.7955747721699822,0.007195531245806101,oplsaa
654,MoSDeF,MD,hoomd,pentaneUA-constrain_bonds,5,372.0,0.5416020418523796,0.0118945713565856,trappe-ua
655,MoSDeF,MC,cassandra,waterSPCE,12,300.0,0.9981109279641666,0.006896965498224974,spce
656,MoSDeF,MC,cassandra,waterSPCE,4,320.0,0.9856235029125,0.008520453418962069,spce
657,MoSDeF,MC,cassandra,pentaneUA-constrain_bonds,13,372.0,0.5401617952675001,0.012080325756817207,trappe-ua
658,MoSDeF,MC,cassandra,benzeneUA,15,450.0,0.6991447879249999,0.01416678102215295,benzene-ua
659,MoSDeF,MD,gromacs,ethanolAA,0,280.0,0.8166558712671529,0.008906480803164116,oplsaa
660,MoSDeF,MC,gomc,methaneUA,2,140.0,0.37578525619558334,0.0037873761856411147,trappe-ua
661,MoSDeF,MC,gomc,ethanolAA,1,300.0,0.7923304148813334,0.00666825707791062,oplsaa
662,MoSDeF,MD,lammps-VU,waterSPCE,14,300.0,0.9980119398274051,0.007464622754187162,spce
663,MoSDeF,MD,lammps-VU,waterSPCE,13,320.0,0.9864791348440419,0.007842737792667344,spce
664,MoSDeF,MD,hoomd,benzeneUA,4,450.0,0.6991447674384628,0.013605386197136748,benzene-ua
665,MoSDeF,MD,hoomd,waterSPCE,2,300.0,0.9978150811787998,0.007560340508508548,spce
666,MoSDeF,MD,lammps-VU,methaneUA,8,140.0,0.37594819987191624,0.004581903150777032,trappe-ua
667,MoSDeF,MD,gromacs,waterSPCE,3,280.0,1.0066727626764687,0.00747689337369163,spce
668,MoSDeF,MC,gomc,ethanolAA,14,320.0,0.7678897578542501,0.00744891875457162,oplsaa
669,MoSDeF,MD,lammps-VU,waterSPCE,11,320.0,0.9861635502566243,0.008072274843890578,spce
670,MoSDeF,MD,gromacs,benzeneUA,8,450.0,0.7088503153861415,0.018979221507790762,benzene-ua
671,MoSDeF,MD,gromacs,pentaneUA-constrain_bonds,1,372.0,0.541784677622581,0.01202760036828486,trappe-ua
672,MoSDeF,MD,hoomd,ethanolAA,3,300.0,0.793509126792412,0.00721436697620631,oplsaa
673,MoSDeF,MD,gromacs,methaneUA,2,140.0,0.3758922413942505,0.0048701920930879885,trappe-ua
674,MoSDeF,MD,hoomd,ethanolAA,2,280.0,0.8145031323228052,0.006725688854285593,oplsaa
675,MoSDeF,MC,mcccs,benzeneUA,9,450.0,0.6982764972049247,0.013988537029547566,benzene-ua
676,MoSDeF,MC,mcccs,waterSPCE,7,280.0,1.0077014706361824,0.005986734843008502,spce
